@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
