@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5178, 15.3195, 0.6743, 1.5493, 72.8967, 0.0, 9.4969, 0.0, 0.0, positive
1.5181, 14.9168, 0.9045, 1.715, 72.7608, 0.0, 9.6471, 0.0, 0.0, positive
1.5192, 14.1415, 0.0441, 2.0743, 72.7392, 0.0, 10.8649, 0.0, 0.0, positive
1.5191, 14.0131, 2.2038, 1.6022, 72.3978, 0.0, 9.6742, 0.0, 0.0, positive
1.5165, 14.7515, 1.1728, 1.6585, 73.3331, 0.0, 8.9891, 0.0, 0.0, positive
1.5182, 13.9001, 2.2896, 1.2524, 73.0857, 0.0, 9.3714, 0.0, 0.0, positive
1.5197, 14.5372, 0.0726, 0.5786, 73.4564, 0.0, 11.1751, 0.0, 0.0, positive
1.5137, 14.3289, 1.8207, 1.4976, 74.3378, 0.0, 7.8481, 0.0, 0.0, positive
1.519, 14.4576, 1.6492, 1.6439, 72.4285, 0.0, 9.7459, 0.0, 0.0, positive
1.5191, 13.9784, 2.3911, 1.5202, 72.4123, 0.0, 9.5939, 0.0, 0.0, positive
1.5195, 14.0108, 1.7179, 1.0079, 72.9673, 0.0, 10.1839, 0.0, 0.0, positive
1.5192, 14.1541, 1.7376, 1.2882, 72.6714, 0.0, 10.0213, 0.0, 0.0, positive
1.519, 14.7068, 0.5168, 1.8593, 72.5795, 0.0, 10.266, 0.0, 0.0, positive
1.5195, 14.1497, 1.2838, 0.8946, 73.0963, 0.0, 10.4454, 0.0, 0.0, positive
1.5192, 14.141, 0.0479, 2.0729, 72.7392, 0.0, 10.8631, 0.0, 0.0, positive
1.515, 14.3169, 1.1638, 1.722, 73.9471, 0.0, 8.6858, 0.0, 0.0, positive
1.5169, 15.4839, 0.0, 0.4881, 74.1108, 0.0, 9.721, 0.0, 0.0, positive
1.5159, 15.7979, 0.0, 0.4638, 74.3259, 0.0, 9.2118, 0.0, 0.0, positive
1.5128, 16.8268, 0.0, 0.3842, 75.031, 0.0, 7.543, 0.0, 0.0, positive
1.5193, 13.825, 2.4073, 1.2518, 72.6949, 0.0, 9.7335, 0.0, 0.0, positive
1.5192, 13.8045, 2.3942, 1.1976, 72.8063, 0.0, 9.7114, 0.0, 0.0, positive
1.5142, 14.5242, 1.5418, 1.5809, 74.1202, 0.0, 8.0841, 0.0, 0.0, positive
1.5152, 16.1162, 0.4136, 1.0822, 73.8685, 0.0, 8.3946, 0.0, 0.0, positive
1.5132, 14.3904, 1.6706, 1.5613, 74.4734, 0.0, 7.7279, 0.0, 0.0, positive
1.5135, 14.4119, 1.6214, 1.4709, 74.4735, 0.0, 7.8439, 0.0, 0.0, positive
1.5165, 14.4852, 0.8208, 1.0209, 73.982, 0.0, 9.5104, 0.0, 0.0, positive
1.5189, 14.8499, 0.9746, 1.6754, 72.5292, 0.0, 9.9275, 0.0, 0.0, positive
1.5156, 14.2955, 1.0159, 1.7688, 73.7936, 0.0, 8.9653, 0.0, 0.0, positive
1.5191, 14.0766, 2.069, 1.4271, 72.5176, 0.0, 9.7929, 0.0, 0.0, positive
1.5193, 14.1898, 1.5846, 1.224, 72.7424, 0.0, 10.1267, 0.0, 0.0, positive
1.5193, 13.81, 2.4089, 1.2255, 72.7226, 0.0, 9.7472, 0.0, 0.0, positive
1.5192, 13.9321, 2.396, 1.4392, 72.4976, 0.0, 9.636, 0.0, 0.0, positive
1.5184, 15.1526, 0.7289, 1.6471, 72.6931, 0.0, 9.7278, 0.0, 0.0, positive
1.519, 14.3694, 1.7924, 1.6278, 72.417, 0.0, 9.7123, 0.0, 0.0, positive
1.5193, 13.9096, 1.6017, 1.4916, 72.7537, 0.0, 10.1419, 0.0, 0.0, positive
1.5193, 13.8557, 2.4041, 1.3055, 72.6383, 0.0, 9.7056, 0.0, 0.0, positive
1.513, 14.3989, 1.7451, 1.5388, 74.5374, 0.0, 7.602, 0.0, 0.0, positive
1.5193, 13.8405, 2.0651, 1.3182, 72.758, 0.0, 9.9269, 0.0, 0.0, positive
1.5191, 14.4848, 1.469, 1.5079, 72.6091, 0.0, 9.872, 0.0, 0.0, positive
1.5191, 14.0748, 1.197, 1.8254, 72.5536, 0.0, 10.2275, 0.0, 0.0, positive
1.5143, 14.5344, 1.5251, 1.5844, 74.0848, 0.0, 8.1249, 0.0, 0.0, positive
1.5158, 14.6872, 1.2772, 1.6365, 73.5558, 0.0, 8.733, 0.0, 0.0, positive
1.5163, 15.165, 1.5662, 1.1411, 73.4162, 0.0, 8.5648, 0.0, 0.0, positive
1.5134, 14.3824, 1.6154, 1.5789, 74.416, 0.0, 7.8323, 0.0, 0.0, positive
1.5149, 14.2724, 1.9502, 1.5459, 73.8466, 0.0, 8.2298, 0.0, 0.0, positive
1.5191, 14.0727, 1.2313, 1.8178, 72.5483, 0.0, 10.2087, 0.0, 0.0, positive
1.5153, 14.3071, 1.0965, 1.7433, 73.8773, 0.0, 8.813, 0.0, 0.0, positive
1.5147, 14.5681, 1.4705, 1.5958, 73.9683, 0.0, 8.2588, 0.0, 0.0, positive
1.5194, 14.3643, 0.0, 1.2881, 73.1263, 0.0, 11.0602, 0.0, 0.0, positive
1.5169, 14.7951, 1.102, 1.6734, 73.1822, 0.0, 9.1626, 0.0, 0.0, positive
1.5168, 14.2458, 0.6736, 1.8773, 73.4382, 0.0, 9.6122, 0.0, 0.0, positive
1.5192, 14.0069, 0.9477, 1.7363, 72.7476, 0.0, 10.4455, 0.0, 0.0, positive
1.5189, 14.7968, 1.099, 1.7054, 72.4725, 0.0, 9.8748, 0.0, 0.0, positive
1.5193, 13.854, 1.975, 1.3519, 72.7571, 0.0, 9.9687, 0.0, 0.0, positive
1.5193, 14.7495, 0.3418, 1.0764, 73.0493, 0.0, 10.6634, 0.0, 0.0, positive
1.513, 16.8181, 0.1839, 0.6707, 74.7247, 0.0, 7.4233, 0.0, 0.0, positive
1.5132, 14.4176, 1.7149, 1.5444, 74.4896, 0.0, 7.6595, 0.0, 0.0, positive
1.5191, 14.0184, 2.1178, 1.6212, 72.4111, 0.0, 9.7214, 0.0, 0.0, positive
1.519, 14.0292, 2.3442, 1.5661, 72.3728, 0.0, 9.583, 0.0, 0.0, positive
1.5143, 16.0186, 0.9141, 0.6626, 74.4058, 0.0, 7.8289, 0.0, 0.0, positive
1.5179, 14.8997, 0.9322, 1.7092, 72.8199, 0.0, 9.5791, 0.0, 0.0, positive
